species,mtdna.length,cds.count.ncbi,trna.count.ncbi,rrna.count.ncbi,sum
Mauremys nigricans,16779,13,22,2,37
Rhynchocinetes durbanensis,17695,13,24,2,39
Buccinum pemphigus,15265,13,22,2,37
Epomophorus gambianus,16702,13,22,2,37
Lagocephalus inermis,16493,13,22,2,37
Buteo hemilasius,18079,13,22,2,37
Aulonocara stuartgranti,16669,13,22,2,37
Tlacuatzin canescens,16460,13,22,2,37
Zebrias crossolepis,16775,13,22,2,37
Larus vegae,16379,13,22,2,37
Ninox scutulata,16208,13,22,2,37
Lefua costata,16579,13,22,2,37
Tecia solanivora,15251,13,22,2,37
Squalidus multimaculatus,16597,13,22,2,37
Hemiculter eigenmanni,16626,13,22,2,37
Priacanthus tayenus,16866,13,22,2,37
Engaewa walpolea,15984,13,22,2,37
Cephaloscyllium umbratile,16698,13,22,2,37
Hemigaleus microstoma,16701,13,22,2,37
Trochalopteron affine,17856,13,22,2,37
Paguma larvata,16710,13,22,2,37
Geotria australis,17080,13,22,2,37
Taenioides anguillaris,16974,13,22,2,37
Engaewa subcoerulea,16001,13,22,2,37
Compsorhipis davidiana,16085,13,22,2,37
Kaloula rugifera,17074,13,22,2,37
Hyla ussuriensis,18023,13,22,2,37
Caranx tille,16593,13,22,2,37
Myotis muricola,17224,13,22,2,37
Gloydius shedaoensis,17222,13,22,2,37
Leuciscus oxyrrhis,16607,13,22,2,37
Leuciscus burdigalensis,16607,13,22,2,37
Telchinia bonasia,15290,13,22,0,35
Acraea rogersi,15274,13,22,0,35
Acraea poggei,15361,13,22,0,35
Telchinia penelope,15271,13,22,0,35
Telchinia perenna,15315,13,22,0,35
Telchinia lycoa,15190,13,22,0,35
Telchinia polis,15254,13,22,0,35
Telchinia serena,15258,13,22,0,35
Acraea alcinoe,15729,13,22,0,35
Telchinia parrhasia,15261,13,22,0,35
Acraea vestalis,15350,13,22,0,35
Telchinia kalinzu,15260,13,22,0,35
Spiniphilus spinicornis,15707,13,22,2,37
Plestiodon chinensis,17175,13,22,2,37
Dixella aestivalis,16465,13,22,2,37
Aegista aubryana,14238,13,22,2,37
Triplophysa dorsalis,16572,13,22,2,37
Schistura geisleri,16819,13,22,2,37
Labeo altivelis,16603,13,22,2,37
Lepidodesma languilati,15754,13,22,2,37
Triplophysa xiangxiensis,16598,13,22,2,37
Nebrius ferrugineus,16693,13,22,2,37
Trimeresurus sichuanensis,17225,13,22,2,37
Hormaphis betulae,15088,13,22,2,37
Telchinia jodutta,15272,13,22,0,35
Acraea egina,15405,13,22,0,35
Telchinia acerata,15281,13,22,0,35
Acraea zetes,15228,13,22,0,35
Telchinia circeis,15235,13,22,0,35
Telchinia pharsalus,15224,13,22,0,35
Crossocheilus atrilimes,16586,13,22,2,37
Sphyraena jello,16699,13,22,2,37
Yuhina diademata,17834,13,22,2,37
Bactrocera latifrons,15977,13,22,2,37
Bactrocera melastomatos,15954,13,22,2,37
Bactrocera umbrosa,15898,13,22,2,37
Pungitius hellenicus,16713,13,22,2,37
Pungitius tymensis,16481,13,22,2,37
Pungitius laevis,16576,13,22,2,37
Lonchura striata,16813,13,22,2,37
Paralichthys dentatus,17033,13,22,2,37
Myodes rufocanus,16487,13,22,2,37
Evynnis tumifrons,16616,13,22,2,37
Stegostoma fasciatum,16658,13,22,2,37
Fascioloides magna,14047,12,22,2,36
Campylorhynchus brunneicapillus,16786,13,22,2,37
Lucilia coeruleiviridis,14989,13,22,2,37
Muscina levida,14909,13,21,2,36
Uraspis secunda,16554,13,22,2,37
Scolopsis vosmeri,16770,13,22,2,37
Acrossocheilus paradoxus,16597,13,22,2,37
Parapocryptes serperaster,17243,13,22,2,37
Metapenaeopsis dalei,15939,13,22,2,37
Pungitius platygaster,16570,13,22,2,37
Lotharella oceanica,36702,35,24,3,62
Pyronema omphalodes,191189,48,26,2,76
Salix purpurea,598970,32,21,3,56
Ulva linza,70858,28,22,2,52
Colletotrichum tamarilloi,30824,15,29,2,46
Cairneyella variabilis,27186,16,25,1,42
Nicotiana sylvestris,430597,37,23,4,64
Oryza minuta,515022,59,31,2,92
Ziziphus jujuba,365190,35,19,2,56
Lucilia sericata,15945,13,22,2,37
Corallianassa coutierei,15481,13,22,2,37
Nihonotrypaea japonica,15274,13,22,2,37
Macrobrachium lanchesteri,15694,13,22,2,37
Caridina gracilipes,15550,13,22,2,37
Conus tribblei,15570,13,22,2,37
Pythium insidiosum,54989,59,40,4,103
Metorchis orientalis,13834,12,22,2,36
Tetragnatha nitens,14639,13,22,2,37
Aperioptus gracilentus,16603,13,23,2,38
Osteochilus hasseltii,16537,13,22,2,37
Porites lutea,18646,13,8,2,23
Galaxea fascicularis,18751,13,3,2,18
Apostichopus parvimensis,16120,13,22,2,37
Amphioctopus aegina,15545,13,22,2,37
Motacilla lugens,16834,13,22,2,37
Ancherythroculter kurematsui,16621,13,22,2,37
Schizothorax grahami,16584,13,22,2,37
Glyptothorax zanaensis,16537,13,22,2,37
Polynemus dubius,16555,13,22,2,37
Plotosus lineatus,16480,13,22,2,37
Lepisosteus platyrhincus,16320,13,22,2,37
Rhodeus notatus,16735,13,22,2,37
Faxonius rusticus,15875,13,22,2,37
Orconectes sanbornii,15883,13,22,2,37
Chanodichthys ilishaeformis,16624,13,22,2,37
Octopus bimaculoides,15733,13,22,2,37
Ocypode cordimanus,15604,13,22,2,37
Leptodius sanguineus,15480,13,22,2,37
Myzus persicae,17382,13,22,2,37
Cheilopogon unicolor,16529,13,22,2,37
Cheilopogon arcticeps,16530,13,22,2,37
Cheilopogon atrisignis,16530,13,22,2,37
Haemonchus placei,13664,12,22,2,36
Chionodraco hamatus,17457,13,22,2,37
Tridentiger trigonocephalus,16673,13,22,2,37
Galaxias platei,16502,13,22,2,37
Mylochromis lateristriga,16576,13,22,2,37
Nemateleotris decora,16502,13,22,2,37
Octopus conispadiceus,16027,13,22,2,37
Pseudargyria interruptella,15231,13,22,2,37
Megalobrama terminalis x Megalobrama amblycephala,16622,13,22,2,37
Simulium aureohirtum,15904,13,22,2,37
Fejervarya multistriata,17750,13,22,2,37
Neoscona nautica,14049,13,22,2,37
Neoscona adianta,14161,13,22,2,37
Brachycladium goliath,15229,12,22,2,36
Phalacrocorax brasilianus,19042,14,25,2,41
Copadichromis virginalis,16704,13,22,2,37
Shijimiaeoides divina,15259,13,22,2,37
Polyacanthorhynchus caballeroi,13956,12,22,2,36
Plagiorhynchus transversus,15477,12,22,2,36
Pomatorhinus ruficollis,17009,13,22,2,37
Danio albolineatus,16610,13,22,2,37
Cannabis sativa,415602,35,15,3,53
Cobitis matsubarai,16574,13,22,2,37
Tariqlabeo bicornis,16710,13,22,2,37
Labeo pangusia,16601,13,22,2,37
Muricea purpurea,19358,14,1,2,17
Tariqilabeo burmanicus,16710,13,22,2,37
Labeo boggut,16603,13,22,2,37
Crossocheilus langei,16569,13,22,2,37
Labeo nasus,16601,13,22,2,37
Cirrhinus reba,16597,13,22,2,37
Luciocyprinus striolatus,16601,13,22,2,37
Pseudogastromyzon myersi,16562,13,22,2,37
Bhavania australis,16562,13,22,2,37
Populus tremula,783442,33,22,3,58
Tetraplodon fuegianus,104741,40,24,3,67
Lecanicillium saksenae,25919,15,26,2,43
Turnagra capensis,16994,13,22,2,37
Passalurus ambiguus,14023,12,22,2,36
Procambarus alleni,15942,13,22,2,37
Colletotrichum lindemuthianum,36957,16,28,1,45
Colletotrichum acutatum,30892,15,28,2,45
Melanotaenia boesemani,16493,13,22,2,37
Bradypus variegatus,16641,13,22,2,37
Sphyrna tiburo,16723,13,22,2,37
Limonius californicus,16467,13,22,2,37
Dichomeris ustalella,15410,13,22,2,37
Mesophleps albilinella,15274,13,22,2,37
Gasterophilus pecorum,15750,13,22,2,37
Lerema accius,15338,13,22,2,37
Hemiculter bleekeri,16615,13,22,2,37
Etroplus suratensis,16467,13,22,2,37
Mogera robusta,16816,13,22,2,37
Regulus regulus,16847,13,22,2,37
Heterakis beramporia,14012,12,22,2,36
Heterakis gallinarum,13973,12,22,2,36
Episoriculus macrurus,16943,13,22,2,37
Pholis nebulosa,16524,13,22,2,37
Pholis fangi,16523,13,22,2,37
Loxodon macrorhinus,16702,13,22,2,37
Helcystogramma macroscopa,15394,13,22,2,37
Cubiceps squamiceps,16510,13,22,2,37
Myotis lucifugus,17038,13,22,2,37
Dendrocopos leucotos,16838,13,22,2,37
Amynthas carnosus,15160,13,22,2,37
Amynthas hupeiensis,15069,13,22,2,37
Amynthas morrisi,15026,13,22,2,37
Amynthas cucullatus,15122,13,22,2,37
Duplodicodrilus schmardae,15156,13,22,2,37
Amynthas triastriatus,15160,13,22,2,37
Metaphire guillelmi,15174,13,22,2,37
Amynthas pectiniferus,15188,13,22,2,37
Amynthas robustus,15013,13,22,2,37
Amynthas moniliatus,15133,13,22,2,37
Endoclita signifer,15285,13,22,2,37
Nibea miichthioides,16490,13,22,2,37
Dactylomys dactylinus,16650,13,22,2,37
Salvelinus kuznetzovi,16654,13,22,2,37
Eremias stummeri,19602,13,22,2,37
Amynthas jiriensis,15151,13,22,2,37
Elagatis bipinnulata,16542,13,22,2,37
Oligolophus tienmushanensis,16798,13,22,2,37
Rattus tiomanicus,16309,13,22,2,37
Galaxias truttaceus,16510,13,22,2,37
Nemipterus bathybius,17353,13,22,2,37
Hypsugo alaschanicus,17300,13,22,2,37
Thryssa kammalensis,16968,13,22,2,37
Macropodus erythropterus,16495,13,22,2,37
Dirofilaria repens,13675,12,22,2,36
Naesiotus nux,15197,14,22,2,38
Bradypus pygmaeus,16799,13,22,2,37
Bradypus torquatus,16714,13,22,2,37
Cabassous centralis,17114,13,22,2,37
Cabassous chacoensis,16280,13,22,2,37
Cabassous tatouay,16638,13,22,2,37
Cabassous unicinctus,16397,13,22,2,37
Calyptophractus retusus,16231,13,22,2,37
Chaetophractus vellerosus,16598,13,22,2,37
Chaetophractus villosus,16796,13,22,2,37
Chlamyphorus truncatus,16245,13,22,2,37
Cyclopes didactylus,16368,13,22,2,37
Dasypus hybridus,17013,13,22,2,37
Dasypus kappleri,16636,13,22,2,37
Dasypus pilosus,17050,13,22,2,37
Dasypus sabanicola,16936,13,22,2,37
Dasypus septemcinctus,16683,13,22,2,37
Dasypus yepesi,16917,13,22,2,37
Euphractus sexcinctus,16602,13,22,2,37
Myrmecophaga tridactyla,16498,13,22,2,37
Priodontes maximus,16492,13,22,2,37
Tamandua mexicana,16385,13,22,2,37
Tolypeutes matacus,16980,13,22,2,37
Tolypeutes tricinctus,17161,13,22,2,37
Zaedyus pichiy,16598,13,22,2,37
Lecanora strobilina,39842,13,18,2,33
Colletotrichum fioriniae,30020,15,29,1,45
Allium cepa,316363,26,15,3,44
Metanephrops sibogae,20677,13,22,2,37
Conus tulipa,15756,13,22,2,37
Clarias gariepinus,16508,13,22,2,37
Gastrothylax crumenifer,14801,12,22,2,36
Populus tremula x Populus alba,783513,32,22,3,57
Anthus novaeseelandiae,16851,13,22,2,37
Poodytes punctatus,17973,13,22,2,37
Gerygone igata,16871,13,22,2,37
Notiomystis cincta,18645,14,24,2,40
Petroica australis,16912,13,22,2,37
Petroica macrocephala,16861,13,22,2,37
Philesturnus carunculatus,16827,13,22,2,37
Prosthemadera novaeseelandiae,16849,13,22,2,37
Rhipidura fuliginosa,16886,13,22,2,37
Zosterops lateralis,17821,13,22,2,37
Turdus philomelos,18540,14,24,2,40
Plasmodium chabaudi chabaudi,5949,3,0,33,36
Penicillium polonicum,28192,15,27,2,44
Porphyra purpurea,36753,29,24,2,55
Hypomyces aurantius,71638,44,25,2,71
Atylotus miser,15858,13,22,2,37
Gromphadorhina portentosa,15992,13,22,2,37
Panchlora nivea,16034,13,22,2,37
Shelfordella lateralis,15601,13,22,2,37
Chromodoris quadricolor,14259,13,22,2,37
Ostracion rhinorhynchos,16483,13,22,2,37
Makaira nigricans,16533,13,22,2,37
Tetrapturus pfluegeri,16508,13,22,2,37
Tetrapturus belone,16509,13,22,2,37
Tetrapturus georgii,16500,13,22,2,37
Kajikia albida,16528,13,22,2,37
Coptotermes amanii,14894,13,22,2,37
Coptotermes elisae,14900,13,22,2,37
Coptotermes frenchi,14912,13,22,2,37
Coptotermes gestroi,14919,13,22,2,37
Coptotermes heimi,14908,13,22,2,37
Coptotermes kalshoveni,14888,13,22,2,37
Coptotermes michaelseni,14900,13,22,2,37
Coptotermes sepangensis,14716,13,22,3,38
Coptotermes sjoestedti,14897,13,22,2,37
Coptotermes travians,14894,13,22,2,37
Heterotermes crinitus,14882,13,22,2,37
Heterotermes platycephalus,14919,13,22,2,37
Heterotermes tenuior,14916,13,22,2,37
Heterotermes tenuis,14940,13,22,2,37
Heterotermes vagus,14904,13,22,2,37
Reticulitermes grassei,14910,13,22,2,37
Reticulitermes nelsonae,14630,13,22,2,37
Rhinotermes hispidus,15057,13,22,2,37
Phyllidia ocellata,14598,13,22,2,37
Namalycastis abiuma,15265,13,20,2,35
Ptyas mucosa,17151,13,22,2,37
Rana amurensis,18470,13,22,2,37
Cimex lectularius,15217,13,23,2,38
Pyrhila pisum,15516,13,22,2,37
Macrophthalmus japonicus,16170,13,22,2,37
Microhyla butleri,16722,13,22,2,37
Gyrodactylus kobayashii,14786,12,22,2,36
Anomaloglossus baeobatrachus,17572,13,22,2,37
Bactericera cockerelli,15220,13,22,2,37
Cephalopholis urodeta,16592,13,22,2,37
Hapsodrilus ignifer,16072,13,22,2,37
Pyrearinus termitilluminans,16007,13,22,2,37
Bicellonychia lividipennis,16466,13,22,2,37
Lariscus insignis,16355,13,22,2,37
Callosciurus adamsi,15613,13,22,2,37
Exilisciurus exilis,16337,13,22,2,37
Caryanda sp. ZH-2016,15445,13,22,2,37
Melanotaenia australis,16530,13,22,2,37
Arctotherium sp.,16532,13,22,2,37
Vollenhovia emeryi,16259,13,22,2,37
Capricornis sp. YZ-2016,16441,13,22,2,37
Protobothrops tokarensis,17233,13,22,2,37
Ginglymostoma cirratum,16692,13,22,2,37
Achatinella mustelina,16323,13,22,2,37
Cryptocercus kyebangensis,15720,13,22,2,37
Pyrgus maculatus,15346,13,22,2,37
Sesarmops sinensis,15905,13,22,2,37
Helice tientsinensis,16212,13,22,2,37
Takydromus amurensis,17333,13,22,2,37
Rhabdophis tigrinus,17415,13,22,2,37
Glandirana emeljanovi,17733,13,22,2,37
Conus gloriamaris,15774,13,22,2,37
Diaphorina citri,14996,13,22,2,37
Rhina ancylostoma,17217,13,22,2,37
Proscyllium habereri,16708,13,22,2,37
Elusor macrurus,16499,13,22,2,37
Crassostrea iredalei,22446,12,23,4,39
Coregonus chadary,16739,13,22,2,37
Protobothrops flavoviridis,17232,13,22,2,37
Laonastes aenigmamus,16364,13,22,2,37
Porites lobata,18647,13,2,2,17
Mystus cavasius,16554,13,22,2,37
Horabagrus brachysoma,16567,13,22,2,37
Humbertiella nada,15866,13,22,2,37
Anaxarcha zhengi,16620,13,22,2,37
Epinephelus moara x Epinephelus lanceolatus,16866,13,22,2,37
Polystoechotes punctata,16036,13,22,2,37
Cetonurus globiceps,17137,13,22,2,37
Anopheles quadrimaculatus A,15455,13,22,2,37
Trypaea australiensis,15485,13,22,2,37
Taeniogonalos taihorina,15927,13,22,2,37
Onychomys leucogaster,16370,13,22,2,37
Rondotia menciana,15301,13,22,2,37
Lygus lineolaris,17027,13,22,2,37
Drosophila incompta,15640,13,22,2,37
Hemidactylus bowringii,17097,13,22,2,37
Saurida wanieso,16552,13,22,2,37
Lagocephalus spadiceus,16508,13,22,2,37
Cherax bicarinatus,16099,13,23,2,38
Pygoplites diacanthus,16313,13,22,2,37
Gekko chinensis,17906,13,22,2,37
Lithobates sylvaticus,17343,13,22,2,37
Hydropotes inermis,16355,13,22,2,37
Oncicola luehei,14281,12,22,2,36
Trichiurus lepturus nanhaiensis,17060,13,21,2,36
Leuciscus waleckii,16605,13,22,2,37
Aphyocypris moltrechti,16617,13,22,2,37
Cnemaspis limi,16680,13,22,2,37
Bufo tibetanus,17405,13,22,2,37
Phrynocephalus axillaris,17937,13,22,2,37
Perccottus glenii,16487,13,22,2,37
Lophiogobius ocellicauda,16663,13,22,2,37
Aesopia cornuta,16737,13,22,2,37
Maccullochella peelii,16442,13,22,2,37
Pastinachus ater,18162,13,22,2,37
Engaeus cunicularius,16042,13,22,2,37
Geocharax gracilis,15924,13,23,2,38
Euastacus yarraensis,15548,13,22,2,37
Sparus aurata,16652,13,22,2,37
Grapholita dimorpha,15813,13,22,2,37
Orius sauteri,16246,13,22,2,37
Arcos sp. KU 149,16534,13,22,2,37
Ochrogaster lunifer,15593,13,22,2,37
Pseudopungtungia nigra,16583,13,22,2,37
Parnassius bremeri,15389,13,22,2,37
Bathyteuthis abyssicola,20075,17,23,2,42
Semirossia patagonica,17086,13,22,2,37
Thelazia callipaeda,13668,12,22,2,36
Trichuris discolor,13904,13,22,2,37
Trichuris ovis,13946,13,22,2,37
Psettodes erumei,17315,13,22,2,37
Barbodes semifasciolatus,16594,13,22,2,37
Puntius snyderi,16578,13,22,2,37
Pseudohynobius shuichengensis,16394,13,22,2,37
Nautilocaris saintlaurentae,15928,13,22,2,37
Antricola mexicanus,14415,13,22,2,37
Ixodes pavlovskyi,14575,13,22,2,37
Paranephrops planifrons,16174,13,22,2,37
Nephrops norvegicus,16132,13,21,2,36
Labeo fimbriatus,16614,13,22,2,37
Pseudosiderastrea formosa,19475,13,2,2,17
Corvus frugilegus,16931,13,22,2,37
Katsuwonus pelamis,16515,13,22,2,37
Sasakia charonda,15244,13,22,2,37
Hoplobatrachus tigerinus,20462,13,23,2,38
Thunnus alalunga,16527,13,22,2,37
Psilorhynchus homaloptera,16569,13,22,2,37
Micropterus dolomieu,16488,13,22,2,37
Trichiosoma anthracinum,15392,13,20,2,35
Coptotermes remotus,14742,13,22,2,37
Heterotermes cf. paradoxus AUS88,14929,13,22,2,37
Heterotermes cf. paradoxus AUS103,14929,13,22,2,37
Heterotermes cf. paradoxus AUS121,14904,13,22,2,37
Heterotermes malabaricus,14912,13,22,2,37
Heterotermes nr. tenuis COL.4PUERTO,14944,13,22,2,37
Heterotermes cf. occiduus 3.12.2.AUS,14936,13,22,2,37
Heterotermes cf. occiduus 3.15.2AUS,14919,13,22,2,37
Heterotermes validus,14922,13,22,2,37
Sprattus muelleri,16726,13,22,2,37
Pagurus longicarpus,15630,13,22,2,37
Hyperlophus vittatus,16653,13,22,2,37
Sprattus antipodum,16707,13,22,2,37
Potamalosa richmondia,16681,13,22,2,37
Odaxothrissa losera,16730,13,22,2,37
Microthrissa royauxi,16738,13,22,2,37
Potamothrissa acutirostris,16736,13,22,2,37
Konosirus punctatus,16698,13,22,2,37
Potamothrissa obtusirostris,16736,13,22,2,37
Tenualosa toli,16541,13,22,2,37
Clupeichthys perakensis,16672,13,22,2,37
Escualosa thoracata,16749,13,22,2,37
Clupeoides borneensis,16661,13,22,2,37
Ethmidium maculatum,16741,13,22,2,37
Gudusia chapra,16554,13,22,2,37
Ehirava fluviatilis,16689,13,22,2,37
Tenualosa thibaudeaui,16560,13,22,2,37
Clupeichthys goniognathus,16712,13,22,2,37
Sundasalanx praecox,16748,13,22,2,37
Sardinella albella,16652,13,22,2,37
Stichopathes luetkeni,20448,14,2,2,18
Scopelengys tristis,16768,13,22,2,37
Neoscopelus macrolepidotus,16609,13,22,2,37
Lampadena atlantica,17807,13,22,2,37
Amblyomma cajennense,14780,13,22,2,37
Haemaphysalis formosensis,14676,13,22,2,37
Dendronephthya mollis,18844,14,1,2,17
Echinogorgia complexa,19445,14,1,2,17
Euplexaura crassa,18674,14,1,2,17
Alouatta caraya,16517,13,22,2,37
Aotus azarai,16555,13,22,2,37
Avahi laniger,16787,13,22,2,37
Callithrix geoffroyi,16502,13,22,2,37
Cebuella pygmaea,16520,13,22,2,37
Cercocebus chrysogaster,16551,13,22,2,37
Cercopithecus albogularis,16544,13,22,2,37
Cheirogaleus medius,16804,13,22,2,37
Chiropotes albinasus,16706,13,22,2,37
Erythrocebus patas,16676,13,22,2,37
Eulemur rufus,16280,13,22,2,37
Galago moholi,16650,13,22,2,37
Hapalemur griseus,16878,13,22,2,37
Lagothrix lagotricha,16595,13,22,2,37
Leontopithecus rosalia,16872,13,22,2,37
Lepilemur ruficaudatus,16936,13,22,2,37
Lophocebus aterrimus,16563,13,22,2,37
Loris lydekkerianus,16791,13,22,2,37
Mandrillus sphinx,16546,13,22,2,37
Nomascus leucogenys,16478,13,22,2,37
Nycticebus bengalensis,16735,13,22,2,37
Prolemur simus,16765,13,22,2,37
Saguinus oedipus,16551,13,22,2,37
Sapajus xanthosternos,16527,13,22,2,37
Babina holsti,19113,13,22,2,37
Babina subaspera,18525,13,22,2,37
Nidirana okinavana,19959,13,22,2,37
Achirus lineatus,16577,13,22,2,37
Trinectes maculatus,16553,13,22,2,37
Chabertia erschowi,13705,12,22,2,36
Phodilus badius,17086,13,22,2,37
Sagittarius serpentarius,16773,13,22,2,37
Botrylloides violaceus,14357,13,24,2,39
Lygus hesperus,17747,13,22,2,37
Schizothorax davidi,16576,13,22,2,37
Schizopygopsis pylzovi,16664,13,22,2,37
Euastacus spinifer,15558,13,22,2,37
Astacopsis gouldi,16678,13,21,2,36
Gazza minuta,16475,13,22,2,37
Lobotes surinamensis,16782,13,22,2,37
Gerres oyena,16839,13,22,2,37
Polydactylus plebeius,16765,13,22,2,37
Polynemus paradiseus,16710,13,22,2,37
Pempheris schwenkii,16516,13,22,2,37
Metapenaeus ensis,15944,13,22,2,37
Hypselecara temporalis,16544,13,22,2,37
Enoplosus armatus,16508,13,22,2,37
Microcanthus strigatus,16531,13,22,2,37
Ellipes minuta,15451,13,22,2,37
Heteroconger hassi,17768,13,22,2,37
Thunnus thynnus,16527,13,22,2,37
Thunnus obesus,16528,13,22,2,37
Carassius gibelio,16581,13,22,2,37
Amblydoras gonzalezi,16505,13,22,2,37
Hydrosaurus amboinensis,16129,13,22,2,37
Amphilius sp. NM-2010,16539,13,22,2,37
Pterygoplichthys disjunctivus,16521,13,22,2,37
Duringlanis perugiae,16677,13,22,2,37
Clarias sp. NM-2010,16508,13,22,2,37
Lebiasina astrigata,16899,13,22,2,37
Myleus sp. NM-2010,16664,13,22,2,37
Ichthyborus sp. NM-2010,16524,13,22,2,37
Micralestes sp. NM-2010,16660,13,22,2,37
Acestrorhynchus sp. NM-2010,16758,13,22,2,37
Mauremys sinensis,16461,13,22,2,37
Bothriocroton concolor,14809,13,22,2,37
Bothriocroton undatum,14769,13,22,2,37
Amblyomma fimbriatum,14705,13,22,2,37
Ciona intestinalis B CG-2006,14591,13,24,2,39
Atractosteus spatula,16262,13,22,2,37
Crossorhombus azureus,16792,13,22,2,37
Leiolepis reevesii,16908,13,22,2,37
Trichopodus trichopterus,16452,13,22,2,37
Onychodactylus zhaoermii,16533,13,22,2,37
Ilyonectria destructans,42895,15,29,2,46
Melanagromyza sojae,15475,13,22,2,37
Sinocrossocheilus labiatus,16603,13,22,2,37
Anopheles homunculus,15739,13,22,2,37
Anopheles bellator,15668,13,22,2,37
Anopheles laneanus,15446,13,22,2,37
Hippocampus mohnikei,16518,13,22,2,37
Melanotaenia praecox,16536,13,22,2,37
Rhynchobatus australiae,16804,13,22,2,37
Munida gregaria,16326,13,22,2,37
Cynoglossus joyneri,16428,13,22,2,37
Creontiades dilutus,15864,13,22,2,37
Lamprotula scripta,16250,13,23,2,38
Datnioides undecimradiatus,16534,13,22,2,37
Stygobromus indentatus,14638,13,22,2,37
Reticulitermes labralis,15914,13,22,2,37
Tylomelania sarasinorum,16632,13,22,2,37
Mantis religiosa,15534,13,23,2,38
Tenodera sinensis,15531,13,22,2,37
Creobroter gemmatus,15716,13,24,2,39
Placobdella lamothei,15190,13,23,2,38
Antheraea assamensis,15312,13,22,2,37
Pateobatis jenkinsii,17670,13,22,2,37
Cichla ocellaris,16526,13,22,2,37
Anguis cephallonica,17208,13,22,2,37
Anthopleura anjunae,20039,13,2,2,17
Mierspenaeopsis hardwickii,15922,13,23,2,38
Datnioides microlepis,16439,12,22,2,36
Syngnathus typhle,16488,13,22,2,37
Solenocera crassicornis,15946,13,22,2,37
Morone americana,17966,13,22,2,37
Rediviva intermixta,16875,13,22,2,37
Heliodoxa aurescens,16718,13,22,2,37
Calliphlox amethystina,16871,13,22,2,37
Florisuga fusca,16810,13,22,2,37
Phaethornis malaris,16811,13,22,2,37
Schyzocotyle acheilognathi,13903,12,22,2,36
Schyzocotyle nayarensis,13852,12,22,2,36
Epinephelus moara x Hyporthodus septemfasciatus,16627,13,22,2,37
Pagothenia borchgrevinki,17299,13,22,2,37
Pseudobalistes fuscus,16480,13,22,2,37
Netuma thalassina,16711,13,22,2,37
Acipenser fulvescens,16542,13,22,2,37
Scaphirhynchus platorynchus,16495,13,22,2,37
Scaphirhynchus albus x Scaphirhynchus platorynchus,16495,13,22,2,37
Sinobatis borneensis,16701,13,22,2,37
Eothenomys miletus,16344,13,22,2,37
Angiostrongylus malaysiensis,13516,12,22,2,36
Telmatobius chusmisensis,19312,13,22,2,37
Beaufortia kweichowensis,16599,13,22,2,37
Lamprotula caveata,16641,13,22,2,37
Haliclystus antarcticus,15766,13,5,2,20
Aglaiogyrodactylus forficulatus,14371,12,22,2,36
Chrysoperla externa,16509,13,22,2,37
Mus famulus,16291,13,22,2,37
Acipenser nudiventris,16543,13,22,2,37
Cyprinodon diabolis,16499,13,22,2,37
Tubastraea tagusensis,19094,13,2,2,17
Lethrinus laticaudis,16758,13,22,2,37
Conus capitaneus,15829,13,22,0,35
Aneurus similis,16477,13,22,2,37
Aneurus sublobatus,16091,13,22,2,37
Aradus compar,16814,13,22,2,37
Libiocoris heissi,15168,13,22,2,37
Cynoglossus zanzibarensis,16569,13,22,2,37
Bothus myriaster,16873,13,22,2,37
Crossorhombus valderostratus,16790,13,22,2,37
Lophonectes gallus,18642,13,22,2,37
Emberiza elegans,16779,13,22,2,37
Dopasia gracilis,17788,13,22,2,37
Helicoverpa zea,15343,13,22,2,37
Sillago sinica,16572,13,22,2,37
Odontamblyopus lacepedii,17245,13,22,2,37
Lateolabrax latus,16479,13,22,2,37
Idea leuconoe,15278,13,22,2,37
Chirolophis japonicus,16521,13,22,2,37
Caulophryne jordani,16657,13,22,2,37
Gossypium raimondii,676078,39,30,6,75
Paretroplus maculatus,16486,13,22,2,37
Lama guanicoe,16649,13,22,2,37
Onchidella celtica,14150,13,25,2,40
Malcus inconspicuus,15575,13,22,2,37
Chiloscyllium plagiosum,16726,13,22,2,37
Gillichthys mirabilis,16481,13,22,2,37
natural gynogenetic Carassius auratus red var.,16580,13,22,2,37
Desmophyllum pertusum,16150,12,2,2,16
Pleurocorallium konojoi,18969,14,1,2,17
Trigonostigma espei,17162,13,22,2,37
Caulophryne pelagica,16649,13,22,2,37
Harengula jaguana,17158,13,22,2,37
Caretta caretta,16737,13,22,2,37
Chrysochir aureus,16505,13,22,2,37
Moolgarda cunnesius,16748,13,22,2,37
Macrotermes barneyi,15940,13,22,2,37
Angiostrongylus vasorum,13422,12,22,2,36
Herpele squalostoma,16073,13,22,2,37
Callitettix versicolor,15374,13,22,2,37
Kaloula borealis,17174,13,22,2,37
Platygyra carnosa,16463,13,2,2,17
Taenia martis,13536,12,22,2,36
Setipinna taty,16887,13,22,2,37
Abacion magnum,15160,13,22,2,37
Brachycybe lecontii,15115,13,22,2,37
Leptomyrmex pallens,15591,13,22,2,37
Breviceps adspersus,28757,13,24,3,40
Gymnodiptychus pachycheilus,16586,13,22,2,37
Metaphire vulgaris,15061,13,22,2,37
Polyplectron napoleonis,16710,13,22,2,37
Ifremeria nautilei,15664,13,22,2,37
Lepidodactylus lugubris,16762,13,22,2,37
Uroplatus ebenaui,16830,13,21,2,36
Asiotmethis jubatus,15669,13,22,2,37
